Persons Employed as Substitute Teachers
School Name,Grade Level,Subjects Elementary Long Term, Short Term, Mathematics Long Term, Short Term, Science Long Term, Short Term, Social Studies Long Term, Short Term, English Long Term, Short Term
Mojave HS,9-12,N/A,N/A,2,54,5,44,3,74,7,83
Molasky JHS,6-8,N/A,N/A,3,25,3,10,0,13,3,45
Monaco MS,6-8,N/A,N/A,0,4,1,3,2,3,2,12
Moore ES,PK-5,11,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morris Sunset East HS,9-12,N/A,N/A,0,0,0,5,0,5,0,6
Morrow ES,PK-5,3,205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mountain View ES,PK-5,28,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Neal ES,PK-5,2,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NECTA HS,09-12,N/A,N/A,0,23,0,22,0,27,0,43
Nevada Learning Academy,06-12,N/A,N/A,2,119,2,103,2,91,2,98
Newton ES,PK-5,6,282,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NV Learning Academy ES,PK-05,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NW CTA,9-12,N/A,N/A,4,74,0,84,0,39,1,83
NW CTA ES,K,N/A,N/A,0,0,0,0,0,0,0,0
O'Callaghan MS,6-8,N/A,N/A,1,61,1,50,1,17,1,82
O'Roarke ES,PK-5,6,306,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ober ES,PK-5,3,210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Odyssey Charter ES,K-5,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Odyssey Charter HS,9-12,N/A,N/A,0,0,0,0,0,0,0,0
Odyssey Charter MS,6-8,N/A,N/A,0,0,0,0,0,0,0,2
Orr MS,6-8,N/A,N/A,2,13,5,7,2,12,2,21
Palo Verde HS,9-12,N/A,N/A,3,120,0,81,0,79,1,114
Paradise PDS,PK-5,8,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Park ES,PK-5,3,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Parson ES,PK-5,21,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Perkins (Dr. Claude G.) ES,PK-5,14,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
